TAG DATABASE: PHYSICAL & APPEARANCE
========================================
Total tags: 4354
Categories: 16
Last updated: 2026-02-26

================================================================================
SPECIES & BODY TYPE
================================================================================
african_wild_dog | Painted dog species | species:canid
insect | Insect classification character | species:insect
jackal | Jackal species character | species:canid
jaguar | Jaguar species character | species:felid
jellyfish | A gelatinous ocean creature with trailing stinging tentacles, translucent and drifting. | species:other
kangaroo | A large hopping marsupial with powerful hind legs, muscular tail, and a pouch for young. | species:other
kelpie | A water horse from Celtic folklore, shapeshifting beast that lures travellers to drowning. | species:other
kemonomimi | A human character with only animal ears and tail, otherwise fully human in form. | species:other
khajiit | The cat-folk race from The Elder Scrolls universe, agile and desert-travelling merchants. | species:other
king_cobra | Large venomous snake species | species:reptile
kinkajou | A tropical procyonid with prehensile tail, big round eyes, and a love of fruit and honey. | species:other
kit_fox | Small desert fox species | species:canid
kitsune | A Japanese fox spirit with multiple tails, shapeshifter and magical creature. | species:mythical
kitten | Young cat character | species:felid
koala | An Australian tree-dwelling marsupial with round ears, soft grey fur, and a eucalyptus-only diet. | species:other
kobold | A fantasy reptilian species, small and scaly, often draconic-adjacent and pack-oriented. | species:other
koi | Ornamental carp species | species:fish
komodo_dragon | A large real-world monitor lizard species, venomous and prehistoric-looking apex reptile predator. | species:mythical
kraken | A giant octopus or squid sea monster, vessel-destroying myth from sailor folklore. | species:mythical
labrador | A Labrador Retriever dog breed, sturdy build and short dense coat in yellow, chocolate, or black. | species:other
lagomorph | Rabbit/hare family species | species:lagomorph
lemur | Primate species from Madagascar | species:primate
leopard | Leopard species character | species:felid
leviathan | A massive sea creature of biblical and mythological framing, ocean-sized beast. | species:mythical
lion | Lion species character | species:felid
lioness | A female lion character, sleeker and more active-coded than her maned male counterpart. | species:other
lizard | Lizard species character | species:reptile
llama | A South American camelid, long-necked and shaggy-coated, used as pack and fleece animal. | species:other
lobster | Large crustacean species | species:insect
lynx | Lynx species character | species:felid
maine_coon | A large long-haired cat breed with tufted ears, distinctive ruff, and bushy tail. | species:other
malamute | Alaskan Malamute dog breed | species:canid
mammoth | A prehistoric elephant species with massive curved tusks and shaggy long fur. | species:other
mandrill | Colorful-faced primate | species:primate
maned_wolf | Long-legged South American canine | species:canid
manticore | A lion with scorpion tail and sometimes wings, Persian mythological predator. | species:mythical
mare | Female horse character | species:equid
meerkat | A small social burrowing mongoose species, often standing upright on watch. | species:other
merfolk | A humanoid with fish lower body and human upper body, merman or mermaid species. | species:mythical
mink | Mink species character | species:mustelid
minotaur | A bull-headed humanoid from Greek mythology, maze-dwelling and powerful. | species:mythical
mongoose | A small predatory carnivore known for killing snakes, slender-bodied and quick. | species:other
monkey | Primate species (general) | species:primate
moose | Large deer species | species:cervid
moth | Moth species character | species:insect
mountain_lion | Puma/cougar species | species:felid
mouse | Mouse species character | species:rodent
mule | Horse-donkey hybrid | species:equid
mustelid | Weasel/otter/ferret family species | species:mustelid
naga | A humanoid with serpent lower body and human upper body, South Asian mythological being. | species:mythical
narwhal | Tusked Arctic whale | species:marine
ocelot | Small wild cat species | species:felid
octopus | An eight-armed cephalopod with a bulbous head, suckered tentacles, and chromatophore skin. | species:other
opossum | A North American marsupial with naked prehensile tail, famous for playing dead when threatened. | species:other
orangutan | Red-haired arboreal ape | species:primate
orca | Killer whale species | species:marine
otter | Otter species character | species:mustelid
ovine | A species in the sheep family, woolly and horned depending on breed. | species:other
owl | Owl species character | species:avian
ox | Ox/castrated bull character | species:bovid
panda | Panda species character | species:ursid
pangolin | A scaled mammal covered in overlapping keratin plates, anteater-shaped but armoured. | species:other
panther | Panther species character | species:felid
parrot | Parrot species character | species:avian
peacock | A peacock species character, typically emphasising the iridescent fan tail as display. | species:other
pegasus | A winged horse from classical Greek mythology, the flying equine mount of the heroes. | species:mythical
persian | Persian cat breed | species:felid
phoenix | A mythological firebird that cyclically burns and is reborn from its ashes. | species:mythical
pig | A pig species character, domestic or wild variant depending on framing. | species:other
pine_marten | European mustelid species | species:mustelid
pit_bull | Pit bull breed canine character | species:bovid
pixie | A small mischievous fairy-like creature, tiny and typically winged. | species:mythical
plant_creature | A sentient plant-based character, flora rather than fauna, roots and leaves replacing flesh. | species:other
platypus | An egg-laying Australian mammal with duck bill, beaver tail, and venomous spurs on the males. | species:other
poison_dart_frog | Colorful toxic frog species | species:amphibian
polar_bear | Arctic bear species | species:ursid
poodle | Poodle dog breed | species:canid
porcine | A member of the pig family, formal taxonomy term for pig-derived anthros. | species:other
porcupine | Porcupine species character | species:rodent
possum | An Australian marsupial species or a casual term for North American opossum. | species:other
prairie_dog | Burrowing rodent species | species:canid
protogen | An original furry species with a glowing visor-style face and partly mechanical body. | species:other
pterodactyl | A flying reptile from the age of dinosaurs, leathery wings on elongated fourth fingers. | species:other
puma | Mountain lion/cougar species | species:felid
puppy | A young dog character, the juvenile form with softer proportions and puppy-coat fur. | species:other
python | Constricting snake species | species:reptile
rabbit | Rabbit species character | species:lagomorph
raccoon | A procyonid with black facial mask and ringed tail, dexterous hands and nocturnal by nature. | species:other
raccoon_dog | Tanuki / raccoon dog species | species:canid
ram | Male sheep character | species:bovid
ram_bighorn | Bighorn sheep species | species:bovid
raptor | A raptor or dromaeosaur dinosaur, fast and sickle-clawed, often feathered in modern depiction. | species:other
rat | Rat species character | species:rodent
raven | Raven species character | species:avian
red_deer | European deer species | species:cervid
red_fox | Red fox subspecies character | species:canid
red_panda | Red panda species character | species:ursid
reindeer | Reindeer/caribou species character | species:cervid
reptile | Reptile classification character | species:reptile
rhino | A rhinoceros species, heavy-bodied with thick grey skin and a horned or double-horned snout. | species:other
river_otter | Freshwater otter species | species:mustelid
rodent | Rodent family species | species:rodent
rottweiler | Rottweiler dog breed | species:canid
sabertooth | Saber-toothed cat species | species:felid
sable | Dark-furred mustelid | species:mustelid
salamander | Salamander species character | species:amphibian
satyr | A mythological creature with human upper body and goat lower body, horned and lustful. | species:mythical
scalie | Scaled/reptilian character in furry fandom context | species:reptile
sea_dragon | A dragon adapted for aquatic life, serpentine and fin-tailed. | species:mythical
sea_otter | Marine otter species | species:mustelid
seahorse | An equine-shaped fish species, vertically swimming with prehensile tail and male brood pouch. | species:other
seal | Seal species character | species:marine
selkie | A seal shapeshifter from Scottish folklore, human on land and seal in water via a removable skin. | species:other
sergal | An original furry species with a wedge-shaped head and lean predatory canine-avian features. | species:other
serpent | Serpent/snake species character | species:reptile
serval | African wild cat species | species:felid
shark | Shark species character | species:fish
sheep | Sheep species character | species:bovid
siamese | Siamese cat breed | species:felid
silver_fox | Silver-phase red fox character | species:canid
skinwalker | A shapeshifting creature from Native American folklore, cursed to wear animal skins. | species:other
skunk | A black-and-white striped mustelid famous for its sulphurous defensive spray. | species:other
slime | An amorphous slime or gel creature, body shifting and flowing rather than fixed. | species:other
sloth | A slow-moving tree-dwelling mammal, long-clawed and algae-tinted from living upside-down. | species:other
snake | Snake species character | species:reptile
snow_leopard | Snow leopard species character | species:felid
spectacled_bear | South American bear species | species:ursid
sphinx | A lion-bodied creature with human head, Egyptian or Greek mythological guardian. | species:mythical
sphynx_cat | Hairless cat breed | species:felid
spider | Spider species character | species:insect
spotted_hyena | The laughing hyena subspecies, matriarchal and spotted-coated African scavenger-predator. | species:other
squid | A ten-armed cephalopod with torpedo body, two long feeding tentacles among its arms. | species:other
squirrel | Squirrel species character | species:rodent
stag | Male deer character | species:cervid
stallion | Male horse character | species:equid
starfish | A sea star species with five or more radial arms and no central face. | species:other
stingray | Flat cartilaginous fish with barbed tail | species:fish
stoat | Small predatory mustelid | species:mustelid
striped_hyena | The smaller striped hyena subspecies, banded coat and long mane along the back. | species:other
succubus | A female demon that seduces and feeds on sexual energy, incubus counterpart. | species:mythical
sun_bear | Small Southeast Asian bear | species:ursid
swift_fox | Small North American fox | species:canid
t_rex | Tyrannosaurus Rex dinosaur, massive-headed apex predator with tiny forelimbs. | species:other
tabby | Tabby-patterned cat | species:felid
tanuki | A Japanese raccoon-dog spirit, shapeshifter with famously oversized magical testicles in folklore. | species:other
tapir | An odd-toed ungulate with a short prehensile trunk and piglike body. | species:other
tasmanian_devil | A carnivorous Australian marsupial, stocky black-furred scavenger with a bone-crushing bite. | species:other
theropod | A theropod dinosaur, the bipedal carnivore classification that includes T. rex and raptors. | species:other
thunderbird | A giant storm bird from Native American mythology, wingbeats said to be thunder. | species:other
tiger | Tiger species character | species:felid
tigress | A female tiger character, striped and powerful in feminine framing. | species:other
timber_wolf | Large North American wolf subspecies | species:canid
turtle | Turtle/tortoise species character | species:reptile
tuxedo_cat | Black and white cat pattern | species:felid
unicorn | A horse with a single spiralling horn on the forehead, classical fantasy creature. | species:mythical
ursine | Bear family species | species:ursid
vampire | An undead blood-drinking character, fanged and typically pale, sensitive to sunlight. | species:mythical
velociraptor | A small feathered raptor dinosaur, sickle-clawed and swift, smaller than pop culture usually shows. | species:other
viper | Venomous snake species | species:reptile
vulpine | Fox family species | species:canid
wallaby | A small marsupial species in the kangaroo family, shorter and stockier than its larger relatives. | species:other
walrus | Walrus species character | species:marine
weasel | Weasel species character | species:mustelid
wendigo | A cursed antlered creature from Algonquian folklore, gaunt and hungering for flesh. | species:mythical
werewolf | A shapeshifting human that becomes a wolf, typically tied to the moon cycle. | species:mythical
western_dragon | European-style winged dragon, stocky body with bat-like wings and breath weapon. | species:mythical
whale | Whale species character | species:marine
whelp | A young dragon character, the juvenile dragon form with softer proportions. | species:other
white_tiger | White-furred tiger variant | species:felid
wolf | Wolf species character | species:canid
wolf_boy | Male humanoid with wolf ears and tail | species:canid
wolf_girl | Humanoid with wolf ears and tail | species:canid
wolf_pup | Young wolf character | species:canid
wolverine | Wolverine species character | species:mustelid
wombat | An Australian burrowing marsupial, stocky and barrel-shaped with a backward-facing pouch. | species:other
worg | An evil oversized wolf from fantasy fiction, often intelligent and mount-sized. | species:other
wyrm | A limbless serpentine dragon species, long body without legs or wings. | species:mythical
wyvern | A two-legged winged dragon, draconic creature with only one pair of limbs besides the wings. | species:mythical
yak | High-altitude bovine species | species:bovid
yokai | A general Japanese supernatural creature, catch-all for ghosts, spirits, and strange beings. | species:other
zebra | Striped equine species | species:equid
zombie | An undead reanimated corpse character, typically shambling, decayed, and hungering for flesh. | species:mythical

================================================================================
BODY TYPES & FIGURES
================================================================================
animal_head | Human body paired with a fully animal head, sharper than anthro but not a full furry silhouette. | body_type
animate_inanimate | Living, acting versions of objects that shouldn't be alive — walking teapots, sentient signposts, talking furniture. | body_type
athletic | Toned, fit build with visible definition but without the bulk of a bodybuilder physique. | body_type
big muscles | Larger-than-average muscular structure | body_type
bottom heavy | Larger hips and thighs compared to upper body | body_type
busty_feral | A fully quadrupedal feral animal drawn with prominent breasts, the anatomical juxtaposition itself the point. | body_type
curvy figure | Noticeable curves, often on hips and bust | body_type
dwarfism | Character with proportionally short limbs and recognisable dwarfism traits, distinct from just being short. | body_type
eldritch_horror | Unknowable cosmic-horror anatomy — too many eyes, wrong angles, geometry that hurts to look at. | body_type
emaciated | Extremely thin body with visible ribs, hollow cheeks, and pronounced bones from severe malnutrition. | body_type
eye_creature | Character whose body is dominated by one or more oversized eyes, often as the entire head or torso. | body_type
flora_fauna | Plant-animal hybrid character — flower-headed, root-limbed, or otherwise fused with botanical anatomy. | body_type
food_creature | Character whose body is made of, or shaped like, food — bread bodies, candy limbs, pastry features. | body_type
glitch | Character rendered as if they're a corrupted video-game asset, with artefacts, tearing, or broken textures. | body_type
goo_creature | Amorphous slime- or ooze-bodied character whose form ripples, stretches, or dissolves at will. | body_type
hourglass figure | Narrow waist with balanced bust and hips | body_type
huge muscles | Extremely large, exaggerated muscles | body_type
human | Fully human character with no anthropomorphic animal traits at all. | body_type
humanoid | Non-human species with human shape (aliens, androids, elves, etc.) | body_type
hyper muscles | Beyond believable muscular size | body_type
living_aircraft | Aircraft or vehicle with living anatomy, either organic features grafted on or the machine as a full creature. | body_type
manly | Exaggeratedly masculine build — hyper-broad shoulders, thick muscle, rugged facial features pushed to caricature. | body_type
mineral_fauna | Character whose body is made of crystal, stone, or metal rather than flesh, with geological textures replacing skin. | body_type
monster | Broad tag for unnatural, grotesque or fictional horror beings | body_type
morbidly obese | Extremely obese to an unhealthy or exaggerated extent | body_type
musclegut | Heavily muscled build paired with a large, pushed-out gut, the combination of strength and mass rather than cut abs. | body_type
obese | Character with significantly heavy build, rolls, and proportions well past overweight into obese range. | body_type
object_head | Humanoid body topped with an inanimate object instead of a head — lamp, radio, box, clock. | body_type
overweight | Character visibly carrying extra weight across belly, thighs, and chest without reaching obese proportions. | body_type
pear-shaped figure | Wider hips compared to upper body | body_type
penis_creature | Character whose body is formed from or dominated by phallic shapes, often the entire silhouette. | body_type
robot | Fully mechanical character with metal body, joints, and plating rather than flesh or fur. | body_type
semi-anthro | Hybrid of anthro and feral; often retains animal proportions | body_type
serpentine | Long snake-like body with no limbs or only a humanoid upper torso, the lower half a coiling tail. | body_type
short | Character of notably short stature compared to the cast around them, distinct from dwarfism proper. | body_type
short stack / teapot | Very short and curvy figure | body_type
skinny | Thin build with visible slenderness, minimal muscle mass, neither toned nor underweight. | body_type
slightly chubby | Slight excess weight, minor belly | body_type
slim | Lean, streamlined physique — fit but narrow-framed, emphasis on grace rather than power. | body_type
stocky | Broad and compact build — thick-limbed, solid through the middle, built close to the ground. | body_type
taur | Anthro or human upper body with quadruped lower body | body_type
tentacle_monster | Character whose anatomy is primarily tentacles, either instead of limbs or as the whole body. | body_type
top heavy | Larger bust compared to lower body | body_type
undead | Creatures that are animated despite being dead (skeletons, ghosts, zombies) | body_type
venus figure | Classical, soft femininity with full curves | body_type
voluptuous | Full and round in multiple areas (breasts, hips, thighs) | body_type
waddling_head | Oversized head or round body with tiny limbs, giving a waddling gait when they move. | body_type

================================================================================
ANATOMY & PHYSICAL FEATURES
================================================================================
abs | Visible abdominal muscles | anatomy:general
albino | Character with albinism (white fur/skin, red/pink eyes) | anatomy:general
amazonian | Tall, muscular female body type | anatomy:general
ampallang | Horizontal barbell through the glans | anatomy:general
androgynous_body | Body that blends masculine and feminine traits | anatomy:general
angel_bites | Two piercings on either side of the upper lip | anatomy:general
anti_eyebrow_piercing | Piercing below the eye on the cheekbone | anatomy:general
apadravya | Vertical barbell through the glans | anatomy:general
apple_shaped | Fuller midsection, slimmer limbs | anatomy:general
ashley_piercing | Single piercing through the center of the lower lip | anatomy:general
athletic_build | Toned, fit body type | anatomy:general
back_dimple_piercing | Piercings on the lower back dimples | anatomy:general
barbed_cock | Penis with textured barbs (typical of feline species) | anatomy:general
barbell_nipple_piercing | Straight barbell through the nipple | anatomy:general
bear_body | Large, hairy, stocky male body type | anatomy:general
beautiful | Notably attractive physical appearance | anatomy:general
beauty_mark | Small mole or mark considered attractive | anatomy:general
beefy | Large, muscular, and thick-set | anatomy:general
beer_belly | Soft rounded belly from indulgence | anatomy:general
bioluminescence | Glowing patches or lines on skin/fur | anatomy:general
birth_mark | Natural skin marking present from birth | anatomy:general
blue_collar | Working-class physique and presentation | anatomy:general
body_hair | Presence of human-like hair on torso/limbs | anatomy:general
body_hair_pattern | Visible pattern of body hair growth | anatomy:general
body_modification | General body alteration (piercing, tattoo, implant, etc.) | anatomy:general
body_paint | Decorative paint applied to the body | anatomy:general
branding | Burn marks as ownership or aesthetic marking | anatomy:general
branding_body_mod | Burn branding as permanent body art | anatomy:general
bridge_piercing | Piercing across the bridge of the nose | anatomy:general
broad_shoulders | Wide, prominent shoulders | anatomy:general
bulky | Large and heavily muscled | anatomy:general
cellulite | Dimpled skin texture on thighs/buttocks | anatomy:general
christina_piercing | Surface piercing on the pubic mound | anatomy:general
chubby | Soft, rounded body with extra weight | anatomy:general
clawing | Using claws to scratch or mark during sex | anatomy:general
clit_piercing | Piercing directly through the clitoris | anatomy:general
cock | Penis (colloquial) | anatomy:general
conch_piercing | Piercing through the ear's inner shell | anatomy:general
corset_piercing | Row of piercings laced like a corset | anatomy:general
cum | Semen/ejaculate | anatomy:general
cumshot | Visible ejaculation | anatomy:general
curvy | Pronounced curves at bust, waist, and hips | anatomy:general
cybernetic | Mechanical augmentation or replacement of body parts | anatomy:general
cyborg | Character with mechanical/cybernetic body parts | anatomy:general
dad_bod | Slightly soft masculine body type | anatomy:general
dahlia_piercing | Piercings at the corners of the mouth | anatomy:general
daith_piercing | Piercing through innermost ear cartilage | anatomy:general
dark_fur | Character with dark-colored fur | anatomy:general
dark_nipples | Darkly pigmented nipples | anatomy:general
dermal_anchor | Single-point surface piercing anchored under the skin | anatomy:general
dick | Penis (colloquial) | anatomy:general
double_nipple_piercing | Two piercings through the same nipple | anatomy:general
dydoe_piercing | Piercing through the ridge of the glans | anatomy:general
dyed_fur | Artificially colored fur | anatomy:general
dyed_hair | Artificially colored head hair | anatomy:general
ear_gauge | Large hollow plug in stretched earlobe | anatomy:general
ear_piercing | Piercing on the ear | anatomy:general
ear_plug | Solid plug in stretched earlobe | anatomy:general
emerald_eyes | Green/emerald colored eyes | anatomy:general
feathers | Feathered surface on body or limbs | anatomy:general
femme_body | Traditionally feminine body proportions | anatomy:general
flannel | Wearing flannel clothing (working-class aesthetic) | anatomy:general
flat_chest | Minimal chest development | anatomy:general
fourchette_piercing | Piercing at the rear of the vulva | anatomy:general
freckled_body | Freckles across the body | anatomy:general
freckles | Spotted pigmentation on the skin/fur | anatomy:general
frenum_ladder | Multiple frenum piercings in a row up the shaft | anatomy:general
frenum_piercing | Piercing through the frenulum on the underside of the penis | anatomy:general
frill_(anatomy) | Decorative or functional body frill | anatomy:general
fur | Body covered in animal fur | anatomy:general
genital_beading | Beads implanted along the shaft for texture | anatomy:general
genital_piercing | Piercing on genitalia (Prince Albert, etc.) | anatomy:general
gills | Aquatic breathing slits on neck or torso | anatomy:general
gold_eyes | Gold/amber colored eyes | anatomy:general
guiche_piercing | Piercing on the perineum | anatomy:general
hafada_piercing | Piercing on the scrotum | anatomy:general
hairy | Notably abundant body hair | anatomy:general
handsome | Notably attractive male appearance | anatomy:general
happy_trail | Line of hair from navel to pubic area | anatomy:general
hch_piercing | Horizontal clitoral hood piercing | anatomy:general
heterochromia | Two differently colored eyes | anatomy:general
hip_piercing | Dermal piercings on the hip bones | anatomy:general
horn_implant | Subdermal implants forming horn shapes | anatomy:general
horn_play | Sexual stimulation involving horns as erogenous zone | anatomy:general
horns | Animal horns as physical feature | anatomy:general
inner_labia_piercing | Piercing through the inner labia | anatomy:general
jacob's_ladder | Multiple frenum piercings along the penile shaft | anatomy:general
knot | Bulbous swelling at base of canine penis | anatomy:general
knotted | State of being locked together via penile knot | anatomy:general
knotting | Insertion and locking of canine penile knot during sex | anatomy:general
lanky | Tall and thin with long limbs | anatomy:general
large_areola | Oversized pigmented nipple area | anatomy:general
large_breasts | Above-average breast size | anatomy:general
