TAG DATABASE: KINK & FETISH
========================================
Total tags: 1337
Categories: 7
Last updated: 2026-02-26

================================================================================
BDSM, POWER & CONSENT
================================================================================
aftercare | Emotional/physical care given after intense sexual activity | kink:bdsm
conditioning | The gradual psychological reshaping of a submissive's sexual behaviour through repeated reinforcement — training them to respond to specific triggers, commands, or stimuli with automatic arousal or obedience. Over time, the conditioned responses become instinctive, the submissive's body and mind reprogrammed to the dominant's specifications. | kink:bdsm
consent | Explicit agreement to sexual activity | kink:bdsm
control | Exercising authority over another's actions or pleasure | kink:bdsm
corner_time | A punishment where the submissive is made to stand facing a corner, often with their transgressions on display — bare bottom reddened from spanking, or body marked and exposed. The enforced stillness, childlike posture, and inability to see or interact with the room create a potent cocktail of shame and reflection. | kink:bdsm
corruption | Gradually leading someone away from innocence or moral standards | kink:bdsm
crop | A riding crop used as a BDSM impact implement — a short, flexible rod with a leather keeper at the tip that delivers precise, stinging strikes to specific body parts. The crop's small striking surface allows the dominant to target sensitive areas like nipples, inner thighs, and genitals with surgical accuracy. | kink:bdsm
daddy_dom | Nurturing male dominant (DD/lg dynamic) | kink:bdsm
defilement | Deliberately violating or degrading someone's perceived purity, innocence, or dignity through sexual acts that mark them as used, sullied, or corrupted. The eroticism lies in the contrast between what the person was before and what they've become — clean made dirty, sacred made profane, untouched made thoroughly used. | kink:bdsm
degradation | Deliberately lowering someone's dignity for sexual purposes | kink:bdsm
dehumanization | Stripping a submissive of their human identity — treating them as an animal, an object, a toy, or a thing with no name, preferences, or dignity beyond their function. The removal of personhood is both the punishment and the freedom, as the dehumanised subject is released from all expectations except serving their purpose. | kink:bdsm
denial | Withholding orgasm or pleasure as control mechanism | kink:bdsm
denial_cage | Chastity combined with orgasm denial | kink:bdsm
denial_teasing | Deliberately teasing a denied, chastity-locked, or edge-tortured submissive about their frustrated state — flaunting what they can't have, describing what they're missing, or stimulating them just enough to torment without granting release. The psychological cruelty of being kept aware of exactly what's being withheld compounds the physical denial. | kink:bdsm
dom_sub | Dominant/submissive relationship dynamic | kink:bdsm
dominance | Asserting control and authority over a sexual partner | kink:bdsm
dominant_female | Female character in the controlling/dominant role | kink:bdsm
domination | Exercising power and authority in a sexual context | kink:bdsm
dubcon | Dubious consent — sexual activity with ambiguous willingness | kink:bdsm
dubious_consent | Sexual activity where consent is unclear or complicated | kink:bdsm
edge_torture | Keeping at the edge of orgasm without release | kink:bdsm
edgeplay | BDSM activities at the boundary of safe practice | kink:bdsm
electrostimulation | Using electrical current — from purpose-built devices like TENS units, violet wands, or e-stim pads — to send tingling, pulsing, or shocking sensations through the body during sex. The electricity stimulates nerves and muscles involuntarily, creating sensations from gentle buzzing to sharp, jolting contractions that bypass conscious control. | kink:bdsm
enthusiastic_consent | Clearly expressed, eager agreement to sexual activity | kink:bdsm
exhibitionism | Sexual arousal from being watched or exposed | kink:bdsm
face_slapping | Striking a submissive's face with an open hand during BDSM activity — a deliberately shocking, attention-grabbing act that asserts dominance through the most personal, dignity-stripping form of impact. The sting, the sound, and the emotional weight of being slapped across the face create immediate, visceral submission. | kink:bdsm
face_stepping | A dominant places their foot on a submissive's face, pressing down to assert total physical superiority and reduce the sub to something beneath their sole. The weight on the face, the inability to speak or look away, and the symbolic degradation of being literally underfoot create extreme power display. | kink:bdsm
femdom | Female-dominant sexual dynamic | kink:bdsm
femsub | Female-submissive role in power dynamic | kink:bdsm
figging | The insertion of a peeled piece of fresh ginger root into the anus or vagina, where its natural oils create an intense, escalating burning sensation that cannot be relieved by clenching. Figging is a uniquely cruel form of stimulation because squeezing the muscles — the instinctive response to pain — only intensifies the burn. | kink:bdsm
flogging | Impact play using a flogger — a handle with multiple tails of leather, suede, or rubber that fan across the skin on impact. The flogger's spread distributes force over a wider area than a single-point tool, creating a deep, thuddy warmth that builds from pleasurable to intense with repeated strikes. | kink:bdsm
forced | Action done without consent | kink:bdsm
forced_eye_contact | The dominant commands the submissive to maintain unbroken eye contact during intense, degrading, or overwhelming sexual acts — making them watch and be watched through every moment of vulnerability. The forced gaze prevents the psychological escape of looking away, trapping the sub in full, witnessed, inescapable intimacy. | kink:bdsm
forced_oral | Oral forced upon a partner. | kink:bdsm
forced_orgasm_bdsm | Forcing a restrained submissive to orgasm repeatedly against their will using vibrators, stimulation, or relentless manual technique until they're sobbing, overstimulated, and begging for it to stop. The forced pleasure becomes indistinguishable from torment as the body is driven past satisfaction into raw, uncontrollable sensitivity. | kink:bdsm
forced_to_listen | Compelling someone to hear sexual activity without being able to see it — locked in another room, blindfolded, or restrained with only the sounds of moaning, slapping skin, and pleasure filtering through. The imagination fills in what the ears provide, often creating more torment than direct observation. | kink:bdsm
forced_to_watch | Compelling someone to witness sexual activity they cannot participate in or stop — watching a partner be taken by someone else, or being forced to observe while restrained. The helpless spectatorship creates a potent mix of jealousy, arousal, humiliation, and powerlessness that direct participation cannot replicate. | kink:bdsm
free_use | Consensual arrangement allowing sex at any time without asking | kink:bdsm
funishment | Playful punishment that both the dominant and submissive genuinely enjoy — being 'punished' with spankings, tickling, or tasks that are more fun than painful. The theatrical framework of rule-breaking and consequences adds structure and roleplay to activities that both partners find pleasurable rather than truly corrective. | kink:bdsm
genital_mutilation | Extreme injury or removal of genital tissue | kink:bdsm
genital_torture | Infliction of pain on genitals | kink:bdsm
girly | Effeminate aesthetic, often forced | kink:bdsm
goddess_worship | Worshipping a dominant female as a deity | kink:bdsm
good_boy | A praise term used in dominant/submissive contexts — two simple words that carry enormous weight when spoken by someone whose approval the submissive craves. Being called 'good boy' after obedience or performance triggers a rush of validation, warmth, and eager desire to earn the praise again. | kink:bdsm
gore | Blood, injury, violent damage | kink:bdsm
grooming | Manipulative process of preparing someone for exploitation | kink:bdsm
harness | Body harness worn during BDSM activity | kink:bdsm
human_furniture | Using a submissive's body as literal furniture — sitting on them as a chair, resting feet on them as an ottoman, eating off their back as a table. The submissive holds position silently while being used as an object, their comfort irrelevant, their only purpose being to serve as a functional surface. | kink:bdsm
human_toilet | Using a submissive as a toilet (watersports/scat) | kink:bdsm
humiliation | Deliberate embarrassment as part of sexual dynamic | kink:bdsm
hypnosis | Inducing a trance-like state in a partner for sexual control — whether through actual hypnotic technique, roleplay, or supernatural mind control that renders the subject suggestible, compliant, and programmable. The hypnotised character follows commands without resistance, their will suspended as the hypnotist reshapes their responses. | kink:bdsm
impact_play | Striking the body for sensation (spanking, flogging, etc.) | kink:bdsm
kidnapping_roleplay | Consensual roleplay of an abduction scenario — one partner 'captures' the other through staged force, restraint, and transportation to a prepared location. The adrenaline of the chase, the helplessness of being bound and taken, and the transition from fear to arousal create an intense theatrical experience. | kink:bdsm
kitten_play | Specifically roleplaying as a kitten in BDSM | kink:bdsm
kneeling | Submissive posture of kneeling before a dominant | kink:bdsm
leash | Lead attached to collar for control | kink:bdsm
light_bdsm | Mild, introductory-level bondage and dominance elements without the intensity of heavy BDSM — perhaps silk scarves for wrist binding, gentle commands, playful spanking, or a blindfold during otherwise vanilla sex. Light BDSM adds a spice of power exchange without the commitment of a full dynamic. | kink:bdsm
light_bondage | Minimal, gentle restraint — soft fabrics around wrists, a single silk tie to the headboard, or hands held above the head by a partner's grip rather than hardware. The restraint is more symbolic than inescapable, creating a taste of helplessness without the intensity of serious bondage gear. | kink:bdsm
little | Submissive who regresses to a younger headspace | kink:bdsm
maintenance_spanking | Regular, scheduled spankings administered not as punishment for specific misbehaviour but as ongoing reinforcement of the power dynamic — keeping the submissive in their headspace and the dominant's authority tangible. The routine nature makes it a grounding ritual rather than a response to transgression. | kink:bdsm
male_submissive | Male character in the submissive role | kink:bdsm
maledom | Male-dominant sexual dynamic | kink:bdsm
malesub | Male-submissive role in power dynamic | kink:bdsm
manipulation | Psychologically maneuvering someone for sexual purposes | kink:bdsm
master_slave | Dynamic of total ownership and obedience | kink:bdsm
mind_break | Overwhelming stimulation that overrides conscious resistance | kink:bdsm
mind_control | Supernatural or technological control over another's actions | kink:bdsm
mommy_dom | Nurturing female dominant (MD/lb dynamic) | kink:bdsm
name_calling | Using degrading, possessive, or objectifying names during sex — slut, whore, bitch, pup, toy, fucktoy, cumslut — as verbal reinforcement of the power dynamic. The names strip dignity and individuality while assigning a sexual function, and the submissive's acceptance of the label deepens their surrender. | kink:bdsm
nipple_clamps | Clamps applied to the nipples that create sustained, adjustable pinching pressure — from gentle squeezing to sharp, biting pain — with the most intense sensation often occurring during removal when blood rushes back. The clamps maintain a constant reminder of the dominant's control that the wearer cannot ignore. | kink:bdsm
non_consensual | Sexual activity performed without the consent of one or more participants, achieved through force, coercion, hypnosis, drugging, or supernatural compulsion. Distinct from dubcon where willingness is ambiguous — non-con involves clear refusal, resistance, or inability to consent that is overridden by the aggressor. | kink:bdsm
noncon | Shorthand for non-consensual. Sexual activity where consent is absent, refused, or impossible to give. Often used interchangeably with non_consensual as a tag; both indicate the same dynamic of violated or absent consent. | kink:bdsm
obedience | Compliance with commands in a power dynamic | kink:bdsm
objectification | Treated as a toy, furniture, or thing | kink:bdsm
orgasm_control | Dominant partner controlling when sub may orgasm | kink:bdsm
orgasm_torture | Forcing repeated orgasms past endurance | kink:bdsm
ownership | One partner claiming sexual/emotional possession of another | kink:bdsm
paddling | Impact play using a flat paddle — wood, leather, or synthetic — that delivers broad, deep, thudding strikes to the buttocks or thighs. The paddle's wide surface creates a full-cheek impact with a satisfying crack, and the deep tissue stimulation builds a warm, aching soreness that outlasts the session. | kink:bdsm
pain | Emphasis on suffering or stimulation via pain | kink:bdsm
pet_play | Roleplaying as an animal/pet in a BDSM context | kink:bdsm
petplay | Subject treated as animal (e.g., puppy/kitten role) | kink:bdsm
pinned_down | Being held immobile on the ground or surface | kink:bdsm
pinning | Physically holding partner down during sex | kink:bdsm
pony_play | Specifically roleplaying as a pony in BDSM | kink:bdsm
ponyplay | Rider/pony role scenario | kink:bdsm
possessive | Displaying ownership behavior toward a sexual partner | kink:bdsm
power_dynamics | Imbalance or exchange of control between partners | kink:bdsm
power_exchange | Consensual transfer of authority between partners | kink:bdsm
power_imbalance | Inherent difference in status/authority between partners | kink:bdsm
power_play | Sexual activity centered on control and authority dynamics | kink:bdsm
power_reversal | Shifting who holds dominance during an encounter | kink:bdsm
praise | Verbal affirmation and approval during sex | kink:bdsm
praise_kink | Sexual arousal from receiving verbal praise or approval | kink:bdsm
predator_prey | A BDSM dynamic where one partner assumes the role of predator — hunting, stalking, and pursuing — while the other is prey who flees, hides, and is ultimately caught and claimed. The chase itself is charged with adrenaline and fear-arousal, with the inevitable capture triggering a burst of primal, instinct-driven mating. | kink:bdsm
predicament_bondage | Bondage configurations that force the subject into situations where any movement to relieve one discomfort causes another — standing on tiptoe to ease a crotch rope, or keeping arms raised to avoid pulling on nipple clamps. The victim must constantly choose between competing pains with no comfortable option. | kink:bdsm
primal_hunter | Dominant in primal play who pursues | kink:bdsm
primal_play | BDSM involving hunting, chasing, and animal instincts | kink:bdsm
primal_prey | Submissive in primal play who is hunted | kink:bdsm
protocol | Formal rules, rituals, and codes of behaviour that structure a D/s relationship — specific ways to address the dominant, required postures, rituals for greeting and serving, and established consequences for breaches. Protocol transforms a casual dynamic into a structured, ceremonial power exchange with clear expectations. | kink:bdsm
public_humiliation | Humiliating a submissive in front of others | kink:bdsm
punishment | Disciplinary action for disobedience in a dynamic | kink:bdsm
puppy_play | Specifically roleplaying as a puppy in BDSM | kink:bdsm
rape_play | Consensual roleplay simulating non-consensual scenarios | kink:bdsm
restraint | Physical restriction of movement during sex | kink:bdsm
reverse_forced_oral | Receiver forces oral upon penetrator. | kink:bdsm
reward | Positive reinforcement in a D/s dynamic | kink:bdsm
risk_aware_consensual_kink | The RACK framework acknowledges that BDSM activities carry real, sometimes serious risks that informed participants choose to accept rather than pretending everything is perfectly safe. Partners negotiate with full knowledge of potential consequences, accepting risk rather than denying it, distinguishing informed consent from naive agreement. | kink:bdsm
role_reversal | Dom and sub roles flipped | kink:bdsm
roleplay | Any scenario-based sexual activity where partners adopt characters, situations, or dynamics beyond their real identities — teacher/student, captor/captive, strangers meeting, boss/employee, or any invented context. The fictional frame allows exploration of dynamics and desires that real-world identities and relationships might not permit. | kink:bdsm
rope_bunny | A person who specifically enjoys being tied in rope bondage — not just tolerating restraint but actively craving the sensation of rope against skin, the progressive restriction, and the artistry of the ties. The rope bunny finds pleasure in the process of being bound as much as the helpless result. | kink:bdsm
rules | Established behavioural codes in a D/s dynamic — specific guidelines governing the submissive's behaviour, speech, dress, daily routine, or sexual availability. Rules create structure and predictability in the dynamic, giving the submissive clear expectations and the dominant measurable standards to enforce. | kink:bdsm
safe_sane_consensual | SSC — foundational BDSM consent framework | kink:bdsm
safe_sex | Use of protection (condoms) during sexual activity | kink:bdsm
safeword | Agreed word to immediately stop BDSM activity | kink:bdsm
seduction | Deliberately enticing someone into sexual activity | kink:bdsm
self-bondage | Character binds themselves | kink:bdsm
sensory_deprivation | Removing one or more senses during play — blindfolds for sight, earplugs for sound, hoods for multiple senses simultaneously — to heighten the remaining senses and create disorientation. The deprived partner becomes hyperaware of every touch while losing the ability to anticipate, creating a state of vulnerable, heightened receptivity. | kink:bdsm
service_submission | Submission expressed through acts of service | kink:bdsm
shibari | The Japanese art of rope bondage, characterised by intricate knot patterns, geometric ties, and aesthetic beauty alongside functional restraint. Shibari elevates bondage from mere restraint to an art form, with the process of tying as intimate as the result, each wrap and knot placed with deliberate, meditative precision. | kink:bdsm
slave | Submissive in a total power exchange dynamic | kink:bdsm
small_penis_humiliation | Degrading someone for penis size | kink:bdsm
sounding | Urethral insertion play with rods or sounds | kink:bdsm
spanking | Striking the buttocks with an open hand or implement as punishment, stimulation, or dominance display — one of the most fundamental and universally understood BDSM activities. The stinging impact, the reddening skin, the progressive building of heat and tenderness, and the vulnerability of the bare-bottomed position make spanking both physically intense and emotionally loaded. | kink:bdsm
strapon_sex | Strap-on penetration | kink:bdsm
submission | Yielding control to a dominant partner | kink:bdsm
subspace | Altered mental state achieved through intense submission | kink:bdsm
surrender | Giving up resistance and yielding completely | kink:bdsm
suspension | Bound and lifted off ground, typically by ropes | kink:bdsm
teasing | Playful provocation to build sexual tension | kink:bdsm
temperature_play | Using hot or cold sensations for erotic stimulation — ice cubes dragged across warm skin, candle wax dripped onto the body, chilled metal toys, or alternating hot and cold to shock the nerves. The contrast between temperatures creates sharp, attention-grabbing sensations that keep the body guessing and hypersensitive. | kink:bdsm
temptation | Enticement toward a desired but resisted sexual act | kink:bdsm
throat_stepping | A dominant places their foot on a submissive's throat while they lie on the ground, applying controlled pressure that restricts breathing and demonstrates absolute power over the sub's most vulnerable point. The weight on the throat is both physically dangerous and symbolically annihilating — the sub's life literally under the dominant's foot. | kink:bdsm
torture | Intentionally causing physical or psychological distress | kink:bdsm
total_power_exchange | Complete authority transfer in a relationship | kink:bdsm
training | Structured BDSM education where a dominant systematically teaches a submissive specific skills, behaviours, responses, and protocols through repetition, reinforcement, and correction. Training transforms a raw submissive into a refined, responsive partner whose obedience and service have been deliberately shaped to the dominant's exact specifications. | kink:bdsm
verbal_abuse | Harsh, cruel, or degrading language directed at a partner during sex — insults, belittling comments, and cutting words designed to strip dignity and reinforce the power imbalance. The verbal cruelty may be more psychologically devastating than physical punishment, attacking self-worth and identity as tools of domination. | kink:bdsm
verbal_humiliation | Degrading a submissive through words | kink:bdsm
voyeurism | Sexual arousal from watching others in sexual situations | kink:bdsm
wax_play | Dripping melted candle wax onto the body for erotic sensation — the brief, sharp heat of impact followed by a warm coating that hardens on the skin. Different candle types produce different temperatures, and the anticipation of each unpredictable drop keeps the body flinching and the mind alert. | kink:bdsm
whip | A long, single-tailed striking implement that can deliver everything from a gentle caress to a flesh-splitting crack depending on technique and force. The whip is the most dramatic and skilled tool in the impact play arsenal — its distinctive crack carries cultural weight of punishment, and mastering its use requires genuine practice. | kink:bdsm
wrestling | Physical grappling between partners as foreplay, dominance contest, or erotic activity in its own right — struggling, pinning, and fighting for position before sex. The physical exertion, body-to-body contact, sweat, and genuine competition for control create a charged atmosphere where arousal and aggression merge. | kink:bdsm
wrist_restraints | Devices binding wrists during BDSM activity | kink:bdsm
writing_lines | A punishment where the submissive is made to write a repeated phrase — 'I will not disobey' or similar — a specified number of times, like a school detention exercise. The tedious, repetitive task forces the sub to dwell on their transgression while demonstrating the dominant's authority to waste their time as correction. | kink:bdsm

================================================================================
BONDAGE GEAR & RESTRAINTS
================================================================================
anal_hook | Hook inserted into the anus for bondage | kink:gear
ankle_cuff | Cuffs made specifically for ankles. | kink:gear
ankles_tied | Binding of ankles. | kink:gear
antenna_bondage | Restraint involving antennae. | kink:gear
arm_to_leg | Arms tied to legs, usually for restrictive positioning. | kink:gear
armbinder | Special sleeve that binds arms together behind the back. | kink:gear
arms_tied | Arms are restrained or fastened | kink:gear
ball_bondage | Specific restraint applied to testicles. | kink:gear
ball_gag | Ball-style gag inserted into the mouth. | kink:gear
ball_leash | Leash attached to the scrotum | kink:gear
bamboo_bondage | Tied to bamboo poles | kink:gear
bed_bondage | Restraint using bedposts or frames. | kink:gear
belt | Belts used for restraint. | kink:gear
binder_(restraint) | A device that restricts motion, often binding arms or legs. | kink:gear
bit_gag | Bit-shaped gag often used in ponyplay. | kink:gear
bondage_chair | Chair that binds occupant in place | kink:gear
bondage_gloves | Gloves designed to act as restraints. | kink:gear
bondage_mask | Full face covering for anonymity or fetish use | kink:gear
bound | General state of being restrained; umbrella term. | kink:gear
bound_genitalia | Genitals are tied or constrained. | kink:gear
breast_bondage | Rope or restraints used around/against breasts | kink:gear
breast_press | Device compressing the breasts | kink:gear
breast_pump_bondage | Suction devices on breasts during bondage | kink:gear
breeding_stand | Stand used to forcibly position a character for mounting. | kink:gear
chain | Metal link restraints | kink:gear
chain_bondage | Chains used specifically to bind. | kink:gear
chained | Character is in chains (general). | kink:gear
chair_bondage | Restraint using or bound to a chair. | kink:gear
chastity_device | Device that restricts access to genitals | kink:gear
chastity_piercing | Piercing used to prevent sexual access | kink:gear
clit_clamp | Clamp applied to the clitoris | kink:gear
cloth_gag | Gag made from fabric or cloth. | kink:gear
cock_gag | Gag shaped like or resembling a penis. | kink:gear
cock_leash | Leash attached to the penis or cock ring | kink:gear
cocoon_bondage | Wrapped entirely in rope or material | kink:gear
crotch_rope | Rope pressed between legs over crotch | kink:gear
crotch_rope_riding | Forced to straddle a taut rope | kink:gear
d-ring | Specific type of ring in bondage gear. | kink:gear
dildo_saddle | Riding-style toy fitted with dildo(s). | kink:gear
duct_tape | A specific kind of bondage tape; strong and sticky. | kink:gear
encasement | Body fully enclosed in material | kink:gear
feet_tied | Binding of feet or toes. | kink:gear
fiddle | Wooden frame locking neck and wrists | kink:gear
fixed_dildo | Dildo mounted in place for forced penetration. | kink:gear
frame_bondage | Bound to a metal or wooden frame | kink:gear
frogtied | Legs tied in a deep squat or crouch position. | kink:gear
fuck_bench | Furniture designed for sexual restraint and positioning. | kink:gear
funnel_gag | Gag with a funnel opening for forced ingestion. | kink:gear
gag | Restricts speech or jaw movement | kink:gear
gagged | Character has a gag applied. | kink:gear
genital_bondage | Bondage specifically on genitals | kink:gear
gibet | Cage or frame for public restraint display | kink:gear
gimp_mask | Full-face bondage hood. | kink:gear
gimp_suit | Full-body latex or leather fetish outfit | kink:gear
halter | Restraint or lead gear worn around upper body or head | kink:gear
hand_behind_head | Specific positioning tag. | kink:gear
handcuffs | Metal cuffs restraining the wrists. | kink:gear
hands_above_head | Hands positioned or restrained overhead. | kink:gear
hands_behind_back | Hands placed or tied behind the back. | kink:gear
hands_tied | Hands bound together | kink:gear
hanging_by_limb | Suspended by arms, legs, or tail | kink:gear
hogtied | All limbs bound together, typically behind the back. | kink:gear
hoof_boots | High-arched boots to mimic hoof shapes | kink:gear
hoof_gloves | Gloves shaped to resemble hooves | kink:gear
horn_bondage | Horns are bound. | kink:gear
humbler | Device used to keep subject bent over by restraining testicles | kink:gear
infibulation | Piercing-based genital locking | kink:gear
inverted_suspension | Hanging upside down | kink:gear
karada | Full-body rope harness pattern | kink:gear
labia_clamps | Clamps applied to the labia | kink:gear
latex_encasement | Body sealed inside latex | kink:gear
legbinder | Sleeve that restricts leg movement. | kink:gear
legs_tied | Legs fastened together | kink:gear
mouth_hook | Hooks pulling the corners of the mouth | kink:gear
mummification | Full body wrapping in bandages, tape, or latex | kink:gear
muzzle_(object) | Animal-style mouth restraint | kink:gear
nail | Restraint through nailing (to surfaces, etc). | kink:gear
nailed | Character is immobilized via nails. | kink:gear
nose_hook | Hooks pulling the nostrils upward | kink:gear
o-ring | Another ring variant, common in gags/harnesses. | kink:gear
one-bar_prison | Vertical restraint column confining a character tightly. | kink:gear
partial_suspension | Some body weight supported by bondage | kink:gear
pasiphae_structure | Breeding device, often penetrative or forced-mount style. | kink:gear
penis_bondage | Penis is bound, squeezed, or restrained | kink:gear
piercing_bondage | Using piercings as anchor points for bondage | kink:gear
pillory | Frame locking head and hands while standing | kink:gear
predicament_suspension | Suspension with uncomfortable choice of position | kink:gear
pussy_hook | Hook inserted into the vagina for bondage | kink:gear
rape_rack | Device used for forced immobilization | kink:gear
restraints | Generic tag for any physical restraining item. | kink:gear
reverse_prayer | Arms bound behind back with palms together, like a prayer. | kink:gear
ribbon_bondage | Bondage using decorative ribbons. | kink:gear
ribbons | Ribbons used for restraint. | kink:gear
riding_crop | Short whip for striking | kink:gear
ring (hardware) | Hardware rings used for attachment or restraint. | kink:gear
ring_gag | Ring-shaped gag keeping the mouth open. | kink:gear
rope_dress | Decorative rope harness worn as clothing | kink:gear
rope_harness | Decorative or functional harness made of rope. | kink:gear
rubber_suit | Tight latex or rubber body suit. | kink:gear
saint_andrew's_cross | X-shaped standing frame for spread restraint | kink:gear
sex_toy | Toys used during bondage scenarios | kink:gear
shackles | Heavy metal restraints, often on wrists/ankles | kink:gear
shrimp_tie | Curling restraint where limbs are bound inward in fetal-like pose. | kink:gear
shrink_wrap | Plastic wrap bondage | kink:gear
spikes | Decorative or punishing studs | kink:gear
spread_eagle | Arms and legs are tied in an outward stretched position. | kink:gear
spreader_bar | Bar used to keep limbs spread apart. | kink:gear
stocks | Wooden device immobilizing head/hands | kink:gear
straitjacket | Jacket that binds arms in front or back | kink:gear
strappado | Arms tied behind and pulled upward to lift or suspend the body. | kink:gear
straps | Leather/fabric fastening items | kink:gear
studs | Metal decor, often seen in BDSM leather | kink:gear
sybian | Ride-on vibrator/machine | kink:gear
tail_bondage | Tail bound or incorporated in restraint | kink:gear
tail_cuff | Cuffs for restraining tails. | kink:gear
tape | Adhesive tape used in bondage. | kink:gear
tape_bondage | Bondage using tape instead of rope or straps. | kink:gear
tape_gag | Gag made from adhesive tape. | kink:gear
tentacle_bondage | Tentacles are bound or used in restraint. | kink:gear
tongue_clamp | Clamp holding the tongue | kink:gear
tree_bondage | Character is restrained against a tree. | kink:gear
vacuum_bed | Latex sheet vacuum-sealed around the body | kink:gear
web_bondage | Bound in a web-like rope pattern | kink:gear
whip | Pain or pleasure tool | kink:gear
wing_bondage | Wings are restrained. | kink:gear
wooden_horse_(device) | Painful triangular seat designed for straddling torture | kink:gear
wrist_cuffs | Cuffs for restraining wrists. | kink:gear
wrists_tied | Binding specifically at the wrists. | kink:gear
yoke | Wooden beam across shoulders restraining arms | kink:gear

================================================================================
SEX TOYS & DEVICES
================================================================================
app_controlled_toy | Sex toy controlled via smartphone app | kink:toy
bad_dragon | Brand of fantasy-shaped sex toys popular in furry fandom | kink:toy
ball_gag_harness | Head harness incorporating a ball gag | kink:toy
ball_stretcher | Device worn to stretch the scrotum | kink:toy
ben_wa_balls | Weighted balls inserted vaginally for stimulation | kink:toy
breeding_bench | Furniture designed for restrained penetration | kink:toy
breeding_rack | Restraint frame designed for breeding position | kink:toy
bullet_vibrator | Small, compact vibrator | kink:toy
butt_plug | Plug inserted into the anus and left in place | kink:toy
cervix_plug | Plug that rests against or in the cervix | kink:toy
chastity_belt | Lockable belt preventing genital access | kink:toy
chastity_plug | Butt plug designed to be worn with chastity device | kink:toy
clit_sucker | Suction device for clitoral stimulation | kink:toy
clitoral_vibrator | Vibrator designed for external clitoral stimulation | kink:toy
clothespins | Spring clips used on nipples or skin for pain play | kink:toy
cock_cage | Device enclosing the penis to prevent erection (see also: chastity_cage) | kink:toy
cock_cage_vibrating | Chastity cage with vibration function | kink:toy
cock_pump | Vacuum pump used on the penis for enlargement/sensation | kink:toy
cock_ring | Ring worn around the base of the penis to maintain erection | kink:toy
cock_sleeve | Textured sleeve worn over the penis during penetration | kink:toy
cock_vibrator | Vibrator designed to attach to the penis | kink:toy
collar_and_leash | Collar with attached leash as a set | kink:toy
cum_lube | Lubricant designed to look like cum | kink:toy
cum_tube | Tube system that pumps fake cum through a toy | kink:toy
