TAG DATABASE: PHYSICAL & APPEARANCE
========================================
Total tags: 4354
Categories: 16
Last updated: 2026-02-26

================================================================================
SPECIES & BODY TYPE
================================================================================
african_wild_dog | Painted dog species
gorilla | Large ground-dwelling ape
great_dane | Great Dane dog breed
great_white | Great white shark species
grey_fox | Grey fox species
grey_wolf | Grey wolf subspecies character
griffin | Griffin/gryphon hybrid species
grizzly_bear | North American brown bear
gryphon | Gryphon/griffin hybrid species (eagle + lion)
guinea_pig | Cavy rodent species
hammerhead | Hammerhead shark species
hamster | Small round rodent species
harpy | Bird-woman hybrid character
hatchling | Newly hatched reptile/bird character
hawk | Hawk species character
hedgehog | Hedgehog species character
hellcat | Demonic or infernal feline species
hellhound | Demonic or infernal canine species
hippo | Hippopotamus species
hippogriff | Eagle-horse hybrid creature
honey_badger | Aggressive mustelid species
horse | Horse species character
huldra | Scandinavian forest spirit
humpback | Humpback whale species
husky | Husky breed canine character
hybrid | Cross-species hybrid character
hydra | Multi-headed serpent creature
hyena | Hyena species character
hyena_cub | Young hyena character
ibex | Mountain goat species
iguana | Large herbivorous lizard species
imp | Small mischievous demon
incubus | Male demon that feeds on sexual energy
insect | Insect classification character
jackal | Jackal species character
jaguar | Jaguar species character
jellyfish | Gelatinous ocean creature
kangaroo | Marsupial hopping species
kelpie | Water horse from Celtic folklore
kemonomimi | Human with animal ears and/or tail
khajiit | Cat-folk race from The Elder Scrolls universe
king_cobra | Large venomous snake species
kinkajou | Tropical procyonid
kit_fox | Small desert fox species
kitsune | Japanese multi-tailed fox spirit
kitten | Young cat character
koala | Australian tree-dwelling marsupial
kobold | Kobold fantasy reptilian species
koi | Ornamental carp species
komodo_dragon | Large monitor lizard species
kraken | Giant octopus/squid sea monster
labrador | Labrador Retriever dog breed
lagomorph | Rabbit/hare family species
lemur | Primate species from Madagascar
leopard | Leopard species character
leviathan | Massive sea creature
lion | Lion species character
lioness | Female lion character
lizard | Lizard species character
llama | South American camelid
lobster | Large crustacean species
lynx | Lynx species character
maine_coon | Maine Coon cat breed
malamute | Alaskan Malamute dog breed
mammoth | Prehistoric elephant species
mandrill | Colorful-faced primate
maned_wolf | Long-legged South American canine
manticore | Lion with scorpion tail and wings
mare | Female horse character
meerkat | Social burrowing mongoose
merfolk | Merfolk species (humanoid upper, fish lower)
mink | Mink species character
minotaur | Minotaur species (bull-headed humanoid)
mongoose | Small predatory carnivore
monkey | Primate species (general)
moose | Large deer species
moth | Moth species character
mountain_lion | Puma/cougar species
mouse | Mouse species character
mule | Horse-donkey hybrid
mustelid | Weasel/otter/ferret family species
naga | Naga species (humanoid upper, serpent lower)
narwhal | Tusked Arctic whale
ocelot | Small wild cat species
octopus | Eight-armed cephalopod species
opossum | North American marsupial
orangutan | Red-haired arboreal ape
orca | Killer whale species
otter | Otter species character
ovine | Sheep family species
owl | Owl species character
ox | Ox/castrated bull character
panda | Panda species character
pangolin | Scaled mammal species
panther | Panther species character
parrot | Parrot species character
peacock | Peacock species character
pegasus | Winged horse species
persian | Persian cat breed
phoenix | Phoenix fantasy avian species
pig | Pig species character
pine_marten | European mustelid species
pit_bull | Pit bull breed canine character
pixie | Tiny mischievous fairy-like creature
plant_creature | Sentient plant or plant-hybrid character
platypus | Egg-laying Australian mammal
poison_dart_frog | Colorful toxic frog species
polar_bear | Arctic bear species
poodle | Poodle dog breed
porcine | Pig family species
porcupine | Porcupine species character
possum | Australian marsupial (or opossum)
prairie_dog | Burrowing rodent species
protogen | Protogen original furry species (visor-faced)
pterodactyl | Flying reptile species
puma | Mountain lion/cougar species
puppy | Young dog character
python | Constricting snake species
rabbit | Rabbit species character
raccoon | Raccoon species character
raccoon_dog | Tanuki / raccoon dog species
ram | Male sheep character
ram_bighorn | Bighorn sheep species
raptor | Raptor/dromaeosaur dinosaur species
rat | Rat species character
raven | Raven species character
red_deer | European deer species
red_fox | Red fox subspecies character
red_panda | Red panda species character
reindeer | Reindeer/caribou species character
reptile | Reptile classification character
rhino | Rhinoceros species
river_otter | Freshwater otter species
rodent | Rodent family species
rottweiler | Rottweiler dog breed
sabertooth | Saber-toothed cat species
sable | Dark-furred mustelid
salamander | Salamander species character
satyr | Half-human half-goat mythological character
scalie | Scaled/reptilian character in furry fandom context
sea_dragon | Aquatic dragon species
sea_otter | Marine otter species
seahorse | Equine-shaped fish species
seal | Seal species character
selkie | Seal shapeshifter from Scottish folklore
sergal | Sergal original furry species
serpent | Serpent/snake species character
serval | African wild cat species
shark | Shark species character
sheep | Sheep species character
siamese | Siamese cat breed
silver_fox | Silver-phase red fox character
skinwalker | Shapeshifting creature from Native American folklore
skunk | Skunk species character
slime | Amorphous slime or gel creature
sloth | Slow-moving tree-dwelling mammal
snake | Snake species character
snow_leopard | Snow leopard species character
spectacled_bear | South American bear species
sphinx | Lion-bodied riddle creature
sphynx_cat | Hairless cat breed
spider | Spider species character
spotted_hyena | Laughing hyena subspecies
squid | Ten-armed cephalopod species
squirrel | Squirrel species character
stag | Male deer character
stallion | Male horse character
starfish | Sea star species
stingray | Flat cartilaginous fish with barbed tail
stoat | Small predatory mustelid
striped_hyena | Striped hyena subspecies
succubus | Female demon that feeds on sexual energy
sun_bear | Small Southeast Asian bear
swift_fox | Small North American fox
t_rex | Tyrannosaurus Rex dinosaur
tabby | Tabby-patterned cat
tanuki | Japanese raccoon dog spirit
tapir | Odd-toed ungulate with short trunk
tasmanian_devil | Carnivorous Australian marsupial
theropod | Theropod dinosaur classification
thunderbird | Giant storm bird from Native American mythology
tiger | Tiger species character
tigress | Female tiger character
timber_wolf | Large North American wolf subspecies
turtle | Turtle/tortoise species character
tuxedo_cat | Black and white cat pattern
unicorn | Unicorn fantasy equine species
ursine | Bear family species
vampire | Undead blood-drinking character
velociraptor | Small feathered raptor dinosaur
viper | Venomous snake species
vulpine | Fox family species
wallaby | Small marsupial species
walrus | Walrus species character
weasel | Weasel species character
wendigo | Cursed antlered creature from folklore
werewolf | Werewolf shapeshifting character
western_dragon | European-style winged dragon
whale | Whale species character
whelp | Young dragon character
white_tiger | White-furred tiger variant
wolf | Wolf species character
wolf_boy | Male humanoid with wolf ears and tail
wolf_girl | Humanoid with wolf ears and tail
wolf_pup | Young wolf character
wolverine | Wolverine species character
wombat | Australian burrowing marsupial
worg | Evil oversized wolf (fantasy)
wyrm | Serpentine, limbless dragon species
wyvern | Two-legged winged dragon species
yak | High-altitude bovine species
yokai | Japanese supernatural creature (general)
zebra | Striped equine species
zombie | Undead reanimated character

================================================================================
BODY TYPES & FIGURES
================================================================================
animal_head | Human body with animal head
animate_inanimate | Living representations of inanimate objects
athletic | Toned and fit body without excessive muscle bulk
big muscles | Larger-than-average muscular structure
bottom heavy | Larger hips and thighs compared to upper body
busty_feral | Feral body but with out-of-place breasts
curvy figure | Noticeable curves, often on hips and bust
dwarfism | Character has a form of dwarfism
eldritch_horror | Cosmic horror or unnatural anatomy
emaciated | Extremely underweight, bones visible
eye_creature | Defined by singular or multiple prominent eyes
flora_fauna | Plant-animal hybrids or anthropomorphic plants
food_creature | Creatures made of or themed after food
glitch | Creatures appearing like broken or glitched data/forms
goo_creature | Amorphous, slime or ooze-bodied creatures
hourglass figure | Narrow waist with balanced bust and hips
huge muscles | Extremely large, exaggerated muscles
human | Entirely human with no animal traits
humanoid | Non-human species with human shape (aliens, androids, elves, etc.)
hyper muscles | Beyond believable muscular size
living_aircraft | Aircraft or vehicle with living/organic traits
manly | Overly masculine, defined muscles and rugged shape
mineral_fauna | Creatures with mineral or crystal-like forms
monster | Broad tag for unnatural, grotesque or fictional horror beings
morbidly obese | Extremely obese to an unhealthy or exaggerated extent
musclegut | Muscular with a pronounced belly
obese | Significantly heavy or fat figure
object_head | Humanoids with inanimate objects as heads
overweight | Clearly overweight figure
pear-shaped figure | Wider hips compared to upper body
penis_creature | Creatures defined by or composed of penis features
robot | Fully robotic creature, android or otherwise
semi-anthro | Hybrid of anthro and feral; often retains animal proportions
serpentine | Snake-like body, no limbs or only arms
short | Character with short stature
short stack / teapot | Very short and curvy figure
skinny | Thin body without defined musculature
slightly chubby | Slight excess weight, minor belly
slim | Lean and sleek physique
stocky | Compact and broad frame
taur | Anthro or human upper body with quadruped lower body
tentacle_monster | Creature composed primarily of tentacles
top heavy | Larger bust compared to lower body
undead | Creatures that are animated despite being dead (skeletons, ghosts, zombies)
venus figure | Classical, soft femininity with full curves
voluptuous | Full and round in multiple areas (breasts, hips, thighs)
waddling_head | Round body or large head with short limbs

================================================================================
ANATOMY & PHYSICAL FEATURES
================================================================================
abs | Visible abdominal muscles
albino | Character with albinism (white fur/skin, red/pink eyes)
amazonian | Tall, muscular female body type
ampallang | Horizontal barbell through the glans
androgynous_body | Body that blends masculine and feminine traits
angel_bites | Two piercings on either side of the upper lip
anti_eyebrow_piercing | Piercing below the eye on the cheekbone
apadravya | Vertical barbell through the glans
apple_shaped | Fuller midsection, slimmer limbs
ashley_piercing | Single piercing through the center of the lower lip
athletic_build | Toned, fit body type
back_dimple_piercing | Piercings on the lower back dimples
barbed_cock | Penis with textured barbs (typical of feline species)
barbell_nipple_piercing | Straight barbell through the nipple
bear_body | Large, hairy, stocky male body type
beautiful | Notably attractive physical appearance
beauty_mark | Small mole or mark considered attractive
beefy | Large, muscular, and thick-set
beer_belly | Soft rounded belly from indulgence
bioluminescence | Glowing patches or lines on skin/fur
birth_mark | Natural skin marking present from birth
blue_collar | Working-class physique and presentation
body_hair | Presence of human-like hair on torso/limbs
body_hair_pattern | Visible pattern of body hair growth
body_modification | General body alteration (piercing, tattoo, implant, etc.)
body_paint | Decorative paint applied to the body
branding | Burn marks as ownership or aesthetic marking
branding_body_mod | Burn branding as permanent body art
bridge_piercing | Piercing across the bridge of the nose
broad_shoulders | Wide, prominent shoulders
bulky | Large and heavily muscled
cellulite | Dimpled skin texture on thighs/buttocks
christina_piercing | Surface piercing on the pubic mound
chubby | Soft, rounded body with extra weight
clawing | Using claws to scratch or mark during sex
clit_piercing | Piercing directly through the clitoris
cock | Penis (colloquial)
conch_piercing | Piercing through the ear's inner shell
corset_piercing | Row of piercings laced like a corset
cum | Semen/ejaculate
cumshot | Visible ejaculation
curvy | Pronounced curves at bust, waist, and hips
cybernetic | Mechanical augmentation or replacement of body parts
cyborg | Character with mechanical/cybernetic body parts
dad_bod | Slightly soft masculine body type
dahlia_piercing | Piercings at the corners of the mouth
daith_piercing | Piercing through innermost ear cartilage
dark_fur | Character with dark-colored fur
dark_nipples | Darkly pigmented nipples
dermal_anchor | Single-point surface piercing anchored under the skin
dick | Penis (colloquial)
double_nipple_piercing | Two piercings through the same nipple
dydoe_piercing | Piercing through the ridge of the glans
dyed_fur | Artificially colored fur
dyed_hair | Artificially colored head hair
ear_gauge | Large hollow plug in stretched earlobe
ear_piercing | Piercing on the ear
ear_plug | Solid plug in stretched earlobe
emerald_eyes | Green/emerald colored eyes
feathers | Feathered surface on body or limbs
femme_body | Traditionally feminine body proportions
flannel | Wearing flannel clothing (working-class aesthetic)
flat_chest | Minimal chest development
fourchette_piercing | Piercing at the rear of the vulva
freckled_body | Freckles across the body
freckles | Spotted pigmentation on the skin/fur
frenum_ladder | Multiple frenum piercings in a row up the shaft
frenum_piercing | Piercing through the frenulum on the underside of the penis
frill_(anatomy) | Decorative or functional body frill
fur | Body covered in animal fur
genital_beading | Beads implanted along the shaft for texture
genital_piercing | Piercing on genitalia (Prince Albert, etc.)
gills | Aquatic breathing slits on neck or torso
gold_eyes | Gold/amber colored eyes
guiche_piercing | Piercing on the perineum
hafada_piercing | Piercing on the scrotum
hairy | Notably abundant body hair
handsome | Notably attractive male appearance
happy_trail | Line of hair from navel to pubic area
hch_piercing | Horizontal clitoral hood piercing
heterochromia | Two differently colored eyes
hip_piercing | Dermal piercings on the hip bones
horn_implant | Subdermal implants forming horn shapes
horn_play | Sexual stimulation involving horns as erogenous zone
horns | Animal horns as physical feature
inner_labia_piercing | Piercing through the inner labia
jacob's_ladder | Multiple frenum piercings along the penile shaft
knot | Bulbous swelling at base of canine penis
knotted | State of being locked together via penile knot
knotting | Insertion and locking of canine penile knot during sex
lanky | Tall and thin with long limbs
large_areola | Oversized pigmented nipple area
large_breasts | Above-average breast size
large_nipples | Prominent nipple size
leather | Leather clothing or accessories in sexual context
leg_hair | Hair growth on the legs
leopard_spots | Specific feline-style rosette markings
lingerie | Provocative undergarments
lithe | Slim, graceful, flexible body
lorum_piercing | Piercing at the base of the penis where shaft meets scrotum
magnetic_implant | Magnetic device implanted under skin
masc_body | Traditionally masculine body proportions
medusa_piercing | Piercing centered above the upper lip
monroe_piercing | Off-center piercing above the upper lip
muscle_gut | Prominent belly on a muscular frame
muscular | Well-developed musculature
muscular_male | Male character with prominent muscle definition
musk | Strong natural body scent with sexual undertone
muzzle | Animal snout/mouth structure
nape_piercing | Piercing at the back of the neck
narrow_waist | Slim waistline
navel_piercing | Belly button piercing
nipple_chain_piercing | Chain connecting both nipple piercings
nipple_piercing | Piercing through the nipple
nipple_shield | Decorative shield around a pierced nipple
otter_body | Slim and hairy male body type
outer_labia_piercing | Piercing through the outer labia
paw_pads | Soft pads on the underside of paws
pear_shaped | Narrower upper body, wider hips
pearling | Inserting beads under the skin of the penis
penile_implant | Beads or shapes implanted under penile skin
perky_breasts | Firm, upward-pointing breasts
petite | Small and delicately built
pheromones | Chemical signals that trigger sexual attraction
piercing | Body piercing (general)
plump | Full-figured, pleasantly rounded body
pointed_ears | Ears surgically or magically pointed (elf-style)
precum | Pre-ejaculatory fluid
prince_albert | Ring piercing through the urethra and out the underside of the glans
princess_albertina | Female urethral piercing
prosthetic | Artificial replacement for a body part
pubic_hair | Hair in the genital region
pubic_piercing | Piercing above the penis on the pubic mound
reverse_prince_albert | Piercing through urethra and out the top of the glans
ring_nipple_piercing | Ring/hoop through the nipple
ripped | Extremely defined musculature
ritual_markings | Cultural or magical markings on the body
rook_piercing | Piercing through inner ear ridge
rope | Rope used for bondage or restraint
rose_petals | Decorative rose petals scattered on or around the body, often used in romantic or sensual scenes.
rugged | Rough, weathered, tough appearance
saggy_breasts | Breasts that hang lower
scales | Scaled texture across the body
scar | Visible scar tissue on the body
scarification | Intentional scarring as body art
scarred_body | Body marked by multiple battle or life scars
scarring | Multiple or prominent scars
scent | Body odor or smell as sexually significant element
shaved | Completely removed body hair
silk | Silk fabric used in sexual or sensual context
silver_fur | Character with silver-colored fur
six_pack | Well-defined six abdominal muscles
size_difference | Notable physical size disparity between partners
smooth | Hairless, smooth skin or fur
snake_bites | Two piercings on either side of the lower lip
snug_piercing | Piercing through inner ear cartilage ridge
soft_body | Plush, comfortable body without muscle definition
spider_bites | Two piercings close together on one side of the lip
spikes_(anatomy) | Bony or keratinous protrusions from body
split_tongue | Tongue surgically split into two tips
spots | Random or patterned darker patches
spotted_fur | Character with spotted fur pattern
sternum_piercing | Piercing between the breasts on the sternum
strength | Physical power as a feature of sexual dynamic
stretch_marks | Lines on skin from growth or weight change
stretched_ears | Ear lobes stretched with gauges/plugs
subdermal_implant | Object implanted under the skin for shape
surface_piercing | Piercing along the surface of flat skin
swimmer_build | Broad shoulders, narrow waist, lean
tail | Animal tail as physical feature
tall | Notably tall physical stature
tattoo | Body ink or decorative skin markings
thicc | Pleasantly thick and curvy body
thin | Slender, narrow body build
tight_clothes | Form-fitting clothing that emphasizes body
toned | Lean and defined musculature
tongue_bifurcation | Splitting the tongue in two
tongue_piercing | Piercing through the tongue
trimmed_pubic_hair | Neatly maintained genital hair
tuft | Small clumps of fur or feathers
twink | Slim, young, smooth-bodied male
unshaved | Natural, ungroomed body hair
v_line | V-shaped muscle lines leading to groin
vch_piercing | Vertical clitoral hood piercing
velvet | Velvet fabric used in sensual context
vertical_labret | Piercing entering below lip and exiting through lip surface
vitiligo | Patches of depigmented fur or skin
war_paint | Ritualistic or combat body/face painting
warrior | Character whose physique comes from combat training
webbed_feet | Feet with webbing between toes
webbed_hands | Hands with webbing between fingers
white_fur | Character with white-colored fur
wide_hips | Broad hip structure
willowy | Tall, slender, and elegant

================================================================================
HAIR & HEAD FEATURES
================================================================================
afro | Large rounded natural hair style
auburn_hair | Reddish-brown head hair
bald | No hair present on the scalp
bangs | Front-parted or dangling forehead hair
beard | Full facial beard
big head | Head proportionally larger than expected
black_hair | Black colored head hair
blonde_hair | Blonde/golden head hair
blue_hair | Blue colored head hair
braided_mane | Mane styled into braids
braids | Hair woven into braided strands
brown_hair | Brown colored head hair
bun | Hair gathered into a rounded knot
cheek_tufts | Fluffy fur on the cheeks
chin_tuft | Tuft of fur on the chin
clean_shaven | Completely smooth face without facial hair
cornrows | Hair braided close to the scalp in rows
crest | Ridge of raised fur/feathers/scales on head
curly_hair | Hair with tight or loose curls
dreadlocks | Rope-like twisted hairstyle
ear_tufts | Tufts of fur at the tips of ears (lynx-like)
facial_hair | Beard or stubble on the face
five_o_clock_shadow | Light stubble growth
flowing_mane | Long, loose mane flowing freely
ginger_hair | Bright orange-red head hair
goatee | Small beard on the chin
green_hair | Green colored head hair
grey_hair | Grey/silver head hair
hair | Character has visible head hair
head_fin | Fin-like structure on the head (aquatic species)
head_tail | A tail-like appendage originating from the head
head_tails | Multiple tail-like protrusions on the head
horn | Hardened protrusion from skull
humanoid_face | Human-like facial features
long_hair | Hair length extends beyond shoulders
long_neck | Extended neck length
mane | Thick growth of hair/fur around neck and head (lion-like)
messy_hair | Unkempt, tousled hair
mohawk | Shaved sides with central crest of hair
multi_head | More than one head present
multicolored_hair | Hair with multiple colors
mustache | Upper lip facial hair
mutton_chops | Sideburns extending along the jaw
ombre_hair | Hair gradually transitioning between colors
orange_hair | Orange colored head hair
pigtails | Two sections of hair tied on either side
pink_hair | Pink colored head hair
ponytail | Hair gathered and tied back
purple_hair | Purple colored head hair
red_hair | Red/ginger head hair
short_hair | Hair trimmed or cropped short
sideburns | Hair extending in front of ears
slicked_back | Hair combed smoothly backward
small head | Head proportionally smaller than expected
soul_patch | Small patch of facial hair below lower lip
spiky_hair | Hair styled into spikes
straight_hair | Hair falls flat with no curl
streaked_hair | Hair with colored streaks
stubble | Short facial hair growth
thick neck | Wide or muscular neck
twintails | Two long sections of hair on either side
undercut | Short/shaved underneath, longer on top
wavy_hair | Hair with a soft curve
white_hair | White or silver head hair

================================================================================
EARS, MOUTH & FACIAL FEATURES
================================================================================
barbed_tongue | Covered in barbs or spines
bared_teeth | Teeth intentionally shown (snarl, grin, etc.)
big_ears | Proportionally large ears
big_lips | Plump or emphasized lips
big_mouth_(anatomy) | Oversized or wide jaw span
big_nose | Prominent or oversized nose
big_tongue | Large or extended tongue
buckteeth | Prominent front teeth
clenched_teeth | Tightly closed jaw expression
cute_fangs | Small, aesthetic fang visible
ears | Character has visible ears
fangs | Long, canine-like incisors
finger_in_mouth | Finger inserted into the mouth.
fish_hooking | Finger pulls from inside cheek/mouth.
flesh_fang | Fangs made of flesh, not bone
floppy_ears | Hanging or downward-facing ears
forked_tongue | Snake-like split tongue
glowing_nose | Nose emits light or glows
glowing_tongue | Tongue emits light
hand_on_mouth | A hand covers or rests on the mouth.
huge_lips | Exaggerated, large lips
humanoid_ears | Human-style ears
humanoid_nose | Human-like nose
humanoid_pointy_ears | Elf-style or sharp humanoid ears
hyper_lips | Unrealistically enlarged lips
hyper_tongue | Exaggerated size, often unrealistic
lifted_by_ears | Comical, disciplinary, or humiliating lift.
lips | Defined lip structure
long_ears | Extended ear length, rabbitlike etc.
long_tongue | Tongue extends far from mouth
mouth | Standard mouth feature
multi_teeth | More than usual number of teeth
multi_tongue | More than one tongue present
nose | Visible snout or nasal feature
nose_boop | Light, affectionate touch with finger or nose.
penis_tongue | Tongue resembles or functions as a penis
prehensile_tongue | Capable of grasping or wrapping
prick_ears | Upright, triangular ears (e.g., canine)
pussy_tongue | Tongue resembles or contains a vaginal opening
ribbed_tongue | Textured with ridges
robotic_tongue | Mechanized or cybernetic in nature
round_ears | Circular or curved ear shape
round_nose | Rounded or button-like nasal tip
sharp_teeth | Pointed, predatory-style teeth
small_ears | Petite ear size
small_mouth | Tight or minimal mouth opening
small_nose | Petite or flattened nose
small_tongue | Short or narrow tongue
snaggle_tooth | One protruding or crooked tooth
snout_fuck | Forcing penis into a snout/muzzle.
tapering_tongue | Narrows to a point
teeth | Visible teeth in character's mouth
tentacle_tongue | Elongated and flexible like a tentacle
thick_bottom_lip | Emphasized lower lip
thick_tongue | Wide, bulky tongue
tongue | Basic tongue feature
tongue_sheath | Tongue retracts into a sheath
tusks | Large, protruding teeth from the lower jaw
yellow_teeth | Discolored or yellowed teeth

================================================================================
TORSO, CHEST & LIMBS
================================================================================
5_fingers | Characters specifically with five fingers
5_toes | Character has five toes
amniotic_sac | Sac containing offspring, often visible in womb scenes
amputated_legs | Legs missing due to injury or design
areola | Darkened area around the nipple
armpit_hair | Hair in underarm area
arms | Standard limbs from shoulder to wrist
back_dimples | Small indentations above buttocks
back_groove | Spinal groove on the back
back_muscles | Defined musculature on the back
bare_back | Back visible and unclothed
bare_chest | Chest exposed without clothing
bat_wings | Membranous wings like a bat
belly | Visible abdomen
big_areola | Large areola size
big_breasts | Larger-than-average breasts
big_chest | Pronounced chest volume
big_hands | Oversized hands
big_nipples | Oversized or prominent nipples
big_teats | Oversized teats
biped | Two-legged anatomy (common in humanoids)
breasts | Standard mammalian breasts
butt_wings | Wings attached to buttocks or hips
chest_hair | Hair on chest
chest_tuft | Decorative or natural fur patch on chest
claws | Sharp nails or talons on feet
cloven_hooves | Split or two-part hooves
collarbone | Exposed or prominent clavicle
crotch_lines | V-shaped pelvic lines above groin
digitigrade | Walks on toes/balls of feet (e.g., dogs, cats)
disembodied_leg | Legs shown detached or without a torso
elbow_tufts | Tufts of fur/hair protruding from elbows
elbows | Visible or emphasized elbow joints
feathered_wings | Bird-like, feather-covered wings
featureless_breasts | Smooth mounds without nipples or areola
feet | Visible feet of character
finger_claws | Claws extending from fingers
fingernails | Human-like or stylized nails
fingers | Digits on hands
flat_chested | Minimal or no visible chest volume
floating_legs | Legs floating independently
glowing_nipples | Nipple emits visible glow
grabbing_both_breasts | Sexual grip on both breasts.
grabbing_both_legs | Pulling or pinning both legs.
hands | Standard humanoid or paw hands
head_wings | Wings protruding from the head
hooves | Hoofed feet like ungulates
huge_breasts | Exaggerated, extremely large breasts
huge_nipples | Very large nipple size
huge_teats | Hyper-sized animal teats
hyper_breasts | Beyond normal proportion—fantasy level size
hyper_nipples | Exaggerated/fantasy-level nipple enlargement
insect_wings | Transparent, veined insect-style wings
inverted_nipples | Nipples that recess inward
legless | Character has no visible legs
lepidopteran_wings | Butterfly or moth-style patterned wings
long_arms | Extended limb length
long_legs | Elongated or towering leg structure
long_torso | Elongated body structure
medium_breasts | Average or balanced size breasts
membranous_wings | General category for thin, semi-transparent wings
moob_grab | Grabbing male-presenting pectorals.
moobs | Male breasts or soft chest
multi-leg | More legs than standard species
multi_areola | Multiple areola per breast
multi_arm | More than two arms present
multi_breasts | More than two breasts present
multi_nipple | More than two nipples (separate from multi_breasts)
multi_wings | More than two wings present
muscular_arms | Well-defined upper limb musculature
muscular_calves | Emphasis on lower leg musculature
muscular_legs | Well-defined musculature in thighs and calves
muscular_thighs | Specifically emphasizes upper leg musculature
nails | Visible toenails
natural_breasts | Breast shape that conforms to gravity or realism
navel | Belly button visible
nipple_mouth | Mouthlike orifice in place of or on a nipple
nipple_pinch | Stimulating by pinching, may be playful or teasing.
nipple_tuft | Tuft of fur/hair around or on the nipple
nipples | Standard nipple presence
non-mammal_breasts | Breasts on a species that typically lacks them
pecs | Defined pectoral muscles
plantigrade | Walks with heel touching the ground (e.g., humans)
puffy_areola | Raised, soft-looking areola
puffy_nipples | Nipples that are swollen or raised, creating a soft mound effect around the areola.
quadruped | Four-legged body plan
